symbol,regime,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days
1301.TW,bear,tu_strategy,available,1,1,-2.79,2.79,-2.33,3,0.0,32748.98,11322747.98,4.88,0.94,246
1301.TW,bear,adaptive_tu_strategy,available,1,1,-4.94,4.94,-2.33,3,0.0,58222.23,20128688.74,4.88,1.68,246
1301.TW,bear,buy_and_hold,available,1,1,-10.9159,21.8566,-0.5765,1,0.0,53438.58,18801984.63,100.0,99.31,246
1301.TW,bear,sma_8_21,available,1,1,-14.115,21.1806,-1.1189,6,16.67,319991.37,109958507.15,47.97,47.71,246
1301.TW,sideways,tu_strategy,available,2,2,-4.2557,3.68,-0.96,10,10.0,113006.79,38796974.26,31.43,6.22,490
1301.TW,sideways,adaptive_tu_strategy,available,2,2,-6.1724,6.45,-0.955,10,10.0,172466.95,59195113.42,31.43,9.4,490
1301.TW,sideways,buy_and_hold,available,2,2,3.8635,21.3585,0.2178,2,100.0,118624.76,40297993.68,100.0,99.66,490
1301.TW,sideways,sma_8_21,available,2,2,-11.231,20.8349,-0.191,14,28.57,826716.01,282745056.03,56.12,55.98,490
2002.TW,bull,tu_strategy,available,9,9,-15.4555,24.83,-0.5511,24,20.83,340466.77,117036375.96,18.72,4.21,2072
2002.TW,bull,adaptive_tu_strategy,available,9,9,-12.9424,23.55,-0.5244,24,25.0,380041.58,130410443.53,18.72,4.64,2072
2002.TW,bull,buy_and_hold,available,9,9,43.6371,29.6634,0.1963,9,66.67,551989.53,185630441.78,100.0,99.93,2072
2002.TW,bull,sma_8_21,available,9,9,-35.2404,37.2255,-0.4206,72,26.39,4109791.3,1404859077.84,50.77,50.72,2072
2002.TW,bear,tu_strategy,available,1,1,0.75,1.1,0.41,2,50.0,23902.12,8118019.45,15.85,3.26,246
2002.TW,bear,adaptive_tu_strategy,available,1,1,0.75,1.1,0.41,2,50.0,23902.12,8118019.45,15.85,3.26,246
2002.TW,bear,buy_and_hold,available,1,1,-4.4176,28.8579,-0.1239,1,0.0,56672.63,19572738.31,100.0,99.93,246
2002.TW,bear,sma_8_21,available,1,1,1.0604,16.2317,0.0913,7,57.14,425528.44,145207212.73,56.91,56.86,246
2002.TW,sideways,tu_strategy,available,2,2,-1.5943,1.89,-0.75,5,20.0,57753.74,19797557.26,15.3,3.09,490
2002.TW,sideways,adaptive_tu_strategy,available,2,2,-1.5943,1.89,-0.75,5,20.0,57753.74,19797557.26,15.3,3.09,490
2002.TW,sideways,buy_and_hold,available,2,2,-30.8048,34.4908,-0.8668,2,50.0,103588.04,36935305.26,100.0,99.88,490
2002.TW,sideways,sma_8_21,available,2,2,-27.4383,18.9809,-1.5864,16,12.5,885221.58,303699436.4,38.77,38.73,490
1101.TW,bull,tu_strategy,available,9,9,-8.5201,6.43,-0.55,32,25.0,401800.56,137602378.09,28.13,5.96,2069
1101.TW,bull,adaptive_tu_strategy,available,9,9,-8.6211,6.43,-0.5478,32,25.0,509145.76,174244205.73,28.13,7.82,2069
1101.TW,bull,buy_and_hold,available,9,9,112.6842,39.7622,0.6126,9,77.78,569520.59,189567454.68,100.0,99.89,2069
1101.TW,bull,sma_8_21,available,9,9,17.1263,23.2328,0.1323,59,42.37,3564280.53,1215614030.67,55.29,55.23,2069
1101.TW,bear,tu_strategy,available,1,1,-0.53,0.93,-0.73,1,0.0,11369.67,3908652.01,6.1,1.21,246
1101.TW,bear,adaptive_tu_strategy,available,1,1,-0.53,0.93,-0.73,1,0.0,11369.67,3908652.01,6.1,1.21,246
1101.TW,bear,buy_and_hold,available,1,1,-20.2159,32.6215,-1.0758,1,0.0,49525.3,17943043.46,100.0,99.68,246
1101.TW,bear,sma_8_21,available,1,1,-3.6383,10.0828,-0.1936,7,42.86,398171.21,136109297.81,50.41,50.29,246
1101.TW,sideways,tu_strategy,available,2,2,1.05,3.62,0.25,3,66.67,51803.39,17630218.43,17.34,4.88,490
1101.TW,sideways,adaptive_tu_strategy,available,2,2,1.05,3.62,0.25,3,66.67,51803.39,17630218.43,17.34,4.88,490
1101.TW,sideways,buy_and_hold,available,2,2,-31.5812,38.3609,-0.6435,2,50.0,104279.81,37086217.66,100.0,99.85,490
1101.TW,sideways,sma_8_21,available,2,2,-27.179,22.2367,-0.938,13,15.38,725610.54,249177423.9,48.77,48.71,490
2105.TW,bull,tu_strategy,available,9,9,-8.162,9.3,-0.5478,23,34.78,379958.95,130125208.63,22.39,4.89,2072
2105.TW,bull,adaptive_tu_strategy,available,9,9,-6.298,9.3,-0.5122,23,34.78,387992.09,132762733.26,22.39,5.13,2072
2105.TW,bull,buy_and_hold,available,9,9,1.2973,41.0668,0.1683,9,66.67,537029.7,182190122.48,100.0,99.83,2072
2105.TW,bull,sma_8_21,available,9,9,-34.3535,33.4954,-0.3107,57,22.81,3278834.8,1121132179.39,49.76,49.66,2072
2105.TW,bear,tu_strategy,available,1,1,-4.23,4.29,-1.94,3,0.0,50682.68,17518169.99,15.04,3.47,246
2105.TW,bear,adaptive_tu_strategy,available,1,1,-6.27,6.37,-1.86,3,0.0,76029.22,26275376.75,15.04,5.75,246
2105.TW,bear,buy_and_hold,available,1,1,-1.6314,19.1449,0.0292,1,0.0,57786.79,19810191.88,100.0,99.72,246
2105.TW,bear,sma_8_21,available,1,1,-16.6857,17.7492,-1.145,9,11.11,485072.35,166443621.56,52.03,51.97,246
2105.TW,sideways,tu_strategy,available,2,2,-0.8185,1.01,-0.535,2,0.0,23119.54,7934247.04,6.94,1.41,490
2105.TW,sideways,adaptive_tu_strategy,available,2,2,-0.8185,1.01,-0.535,2,0.0,23119.54,7934247.04,6.94,1.41,490
2105.TW,sideways,buy_and_hold,available,2,2,-40.2373,32.2969,-1.0862,2,0.0,97139.52,35472092.94,100.0,99.83,490
2105.TW,sideways,sma_8_21,available,2,2,-34.4614,26.6754,-1.3581,15,13.33,809669.82,278321001.67,38.77,38.7,490
1216.TW,bull,tu_strategy,available,9,9,-2.8976,3.83,-0.2956,27,33.33,327341.44,111887714.06,26.32,5.36,2071
1216.TW,bull,adaptive_tu_strategy,available,9,9,-2.8976,3.83,-0.2956,27,33.33,327341.44,111887714.06,26.32,5.36,2071
1216.TW,bull,buy_and_hold,available,9,9,78.239,19.8626,0.5064,9,66.67,555252.79,186260917.72,100.0,99.75,2071
1216.TW,bull,sma_8_21,available,9,9,-38.942,24.4917,-0.3836,60,36.67,3378207.59,1155486462.16,55.33,55.17,2071
1216.TW,bear,tu_strategy,available,1,1,-1.18,1.42,-1.08,3,0.0,34214.97,11737470.57,11.38,2.26,246
1216.TW,bear,adaptive_tu_strategy,available,1,1,-1.18,1.42,-1.08,3,0.0,34214.97,11737470.57,11.38,2.26,246
1216.TW,bear,buy_and_hold,available,1,1,0.7108,9.7018,0.0641,1,100.0,58744.4,20016979.93,100.0,99.57,246
1216.TW,bear,sma_8_21,available,1,1,-11.0078,14.8574,-1.1348,11,36.36,602725.81,206315516.22,53.25,53.09,246
1216.TW,sideways,tu_strategy,available,2,2,-2.5274,3.6,-0.375,10,20.0,131146.31,44898899.92,42.86,9.24,490
1216.TW,sideways,adaptive_tu_strategy,available,2,2,-3.9377,5.16,-0.375,10,20.0,182481.8,62496218.65,42.86,12.84,490
1216.TW,sideways,buy_and_hold,available,2,2,22.6207,15.537,0.593,2,100.0,126778.96,42172133.48,100.0,99.88,490
1216.TW,sideways,sma_8_21,available,2,2,-19.0982,18.9944,-0.4673,14,21.43,783936.33,268636351.46,59.8,59.64,490
