symbol,selection_applied_to_validation,average_return_range_pct_points,positive_candidate_fraction,candidate_id,strategy_params,status,training_window_count,average_return_pct,median_return_pct,positive_window_fraction,worst_drawdown_pct,total_trades
2317.TW,False,2.4382,1.0,default,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,4.0009,2.96,0.6364,14.54,60
2317.TW,False,2.4382,1.0,entry_15pct,"{'stage1_ratio': 0.15, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,3.5373,2.37,0.6364,14.63,60
2317.TW,False,2.4382,1.0,entry_25pct,"{'stage1_ratio': 0.25, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,4.55,3.65,0.6364,14.66,60
2317.TW,False,2.4382,1.0,pullback_5_9pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.05, 'pullback_max_pct': 0.09}",available,11,3.4236,3.23,0.6364,14.63,60
2317.TW,False,2.4382,1.0,pullback_9_13pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.09, 'pullback_max_pct': 0.13}",available,11,2.1118,2.67,0.6364,6.04,60
2454.TW,False,6.9609,1.0,default,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,8.0327,-0.44,0.4545,18.74,68
2454.TW,False,6.9609,1.0,entry_15pct,"{'stage1_ratio': 0.15, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,7.9227,-0.07,0.4545,20.29,67
2454.TW,False,6.9609,1.0,entry_25pct,"{'stage1_ratio': 0.25, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,8.2836,0.57,0.5455,18.69,68
2454.TW,False,6.9609,1.0,pullback_5_9pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.05, 'pullback_max_pct': 0.09}",available,11,6.8427,4.1,0.5455,26.49,68
2454.TW,False,6.9609,1.0,pullback_9_13pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.09, 'pullback_max_pct': 0.13}",available,11,1.3227,-1.18,0.3636,15.22,68
2308.TW,False,3.3991,1.0,default,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,7.4473,1.88,0.5455,13.52,59
2308.TW,False,3.3991,1.0,entry_15pct,"{'stage1_ratio': 0.15, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,6.7909,1.41,0.5455,13.71,59
2308.TW,False,3.3991,1.0,entry_25pct,"{'stage1_ratio': 0.25, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,8.1945,2.28,0.5455,13.53,59
2308.TW,False,3.3991,1.0,pullback_5_9pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.05, 'pullback_max_pct': 0.09}",available,11,8.92,-0.2,0.4545,13.51,59
2308.TW,False,3.3991,1.0,pullback_9_13pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.09, 'pullback_max_pct': 0.13}",available,11,5.5209,0.71,0.5455,8.95,59
2881.TW,False,2.0073,0.2,default,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,-0.8645,-1.06,0.4545,6.73,95
2881.TW,False,2.0073,0.2,entry_15pct,"{'stage1_ratio': 0.15, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,-0.83,-0.9,0.3636,5.61,95
