symbol,date,open,high,low,close,volume
^TWII,2020-09-18,12858.599609375,12927.8095703125,12841.08984375,12875.6201171875,3858100
^TWII,2020-09-21,12874.6103515625,12952.3095703125,12795.08984375,12795.1201171875,3612600
^TWII,2020-09-22,12786.91015625,12786.91015625,12632.740234375,12645.509765625,3420700
^TWII,2020-09-23,12656.2998046875,12700.8896484375,12548.0703125,12583.8798828125,3552700
^TWII,2020-09-24,12487.48046875,12487.48046875,12264.3798828125,12264.3798828125,4698500
^TWII,2020-09-25,12312.9404296875,12385.8095703125,12149.8095703125,12232.91015625,4286100
^TWII,2020-09-28,12282.3603515625,12462.759765625,12282.3603515625,12462.759765625,3002400
^TWII,2020-09-29,12488.099609375,12571.33984375,12429.7197265625,12467.73046875,2887800
^TWII,2020-09-30,12483.650390625,12568.6796875,12466.580078125,12515.6103515625,2462100
^TWII,2020-10-05,12567.8798828125,12637.6201171875,12519.1201171875,12548.2802734375,2876800
^TWII,2020-10-06,12644.08984375,12706.3896484375,12644.08984375,12704.23046875,3064800
^TWII,2020-10-07,12667.509765625,12774.3603515625,12619.8095703125,12746.3701171875,2873000
^TWII,2020-10-08,12832.5400390625,12887.1904296875,12818.009765625,12887.1904296875,3427200
^TWII,2020-10-12,12959.150390625,12997.7900390625,12898.8896484375,12955.91015625,3714400
^TWII,2020-10-13,12988.4404296875,12994.66015625,12857.099609375,12947.1298828125,3354400
^TWII,2020-10-14,12927.08984375,12960.0,12895.7900390625,12919.3095703125,3672900
^TWII,2020-10-15,12892.2900390625,12909.1103515625,12786.259765625,12827.8203125,3580300
^TWII,2020-10-16,12814.16015625,12896.2998046875,12750.3701171875,12750.3701171875,3718400
^TWII,2020-10-19,12803.3203125,12911.41015625,12803.3203125,12908.33984375,2971300
^TWII,2020-10-20,12889.990234375,12917.75,12862.3701171875,12862.3701171875,2623800
^TWII,2020-10-21,12889.8798828125,12942.1201171875,12846.419921875,12877.25,3419400
^TWII,2020-10-22,12854.9697265625,12917.0302734375,12827.400390625,12917.0302734375,3683000
^TWII,2020-10-23,12945.1201171875,12963.259765625,12875.23046875,12898.8203125,3531700
^TWII,2020-10-26,12923.5498046875,12971.580078125,12894.1796875,12909.0302734375,4288700
^TWII,2020-10-27,12867.76953125,12884.3203125,12821.0703125,12875.009765625,3583700
^TWII,2020-10-28,12853.759765625,12879.98046875,12761.330078125,12793.75,3657900
^TWII,2020-10-29,12687.6396484375,12699.8203125,12583.3701171875,12662.91015625,3741600
^TWII,2020-10-30,12651.349609375,12656.2900390625,12546.33984375,12546.33984375,3918600
^TWII,2020-11-02,12565.3203125,12594.33984375,12480.66015625,12591.3095703125,2950900
^TWII,2020-11-03,12641.2802734375,12760.1396484375,12641.2802734375,12736.009765625,2946900
^TWII,2020-11-04,12766.8603515625,12885.2802734375,12736.01953125,12867.900390625,3335500
^TWII,2020-11-05,12878.009765625,12918.7998046875,12840.400390625,12918.7998046875,2946300
^TWII,2020-11-06,12952.490234375,12999.16015625,12927.2998046875,12973.5302734375,3215100
^TWII,2020-11-09,13053.98046875,13149.900390625,13048.669921875,13127.4697265625,3696600
^TWII,2020-11-10,13090.650390625,13142.2197265625,13022.919921875,13081.7197265625,4774300
^TWII,2020-11-11,13067.0400390625,13262.1904296875,13067.0400390625,13262.1904296875,5109800
^TWII,2020-11-12,13324.8603515625,13324.8603515625,13193.740234375,13221.7802734375,3935700
^TWII,2020-11-13,13221.7998046875,13273.330078125,13170.1201171875,13273.330078125,3526400
^TWII,2020-11-16,13356.740234375,13551.830078125,13356.740234375,13551.830078125,3858000
^TWII,2020-11-17,13723.76953125,13780.1201171875,13593.009765625,13593.009765625,4123400
^TWII,2020-11-18,13628.419921875,13773.2900390625,13608.7197265625,13773.2900390625,4140300
^TWII,2020-11-19,13775.259765625,13785.919921875,13700.0400390625,13722.4296875,3973800
^TWII,2020-11-20,13702.58984375,13726.2197265625,13666.0703125,13716.4404296875,3869400
^TWII,2020-11-23,13793.5498046875,13921.16015625,13793.5498046875,13878.009765625,4442800
^TWII,2020-11-24,13918.83984375,13951.169921875,13798.3203125,13807.1298828125,5153400
^TWII,2020-11-25,13860.9501953125,13893.2001953125,13731.8095703125,13738.830078125,5163800
^TWII,2020-11-26,13763.7900390625,13856.759765625,13763.7900390625,13845.66015625,4596800
^TWII,2020-11-27,13833.2099609375,13885.009765625,13811.8095703125,13867.08984375,4863800
^TWII,2020-11-30,13917.650390625,13969.3896484375,13722.8896484375,13722.8896484375,7445200
^TWII,2020-12-01,13810.5498046875,13885.669921875,13749.7099609375,13885.669921875,6561000
^TWII,2020-12-02,13970.509765625,13995.7001953125,13894.7001953125,13989.1396484375,6589100
^TWII,2020-12-03,13988.490234375,14049.580078125,13940.0703125,13977.08984375,6081000
^TWII,2020-12-04,14010.169921875,14149.5595703125,14010.169921875,14132.4404296875,6852600
^TWII,2020-12-07,14230.0,14306.8701171875,14142.01953125,14256.599609375,8157200
^TWII,2020-12-08,14251.9404296875,14367.0,14184.580078125,14360.400390625,6401000
^TWII,2020-12-09,14336.6904296875,14427.41015625,14336.6904296875,14390.1396484375,6287100
^TWII,2020-12-10,14295.150390625,14319.3798828125,14191.849609375,14249.490234375,6332100
^TWII,2020-12-11,14298.58984375,14353.169921875,14081.419921875,14261.6904296875,6398300
^TWII,2020-12-14,14238.919921875,14270.33984375,14182.25,14211.0498046875,5733400
^TWII,2020-12-15,14206.330078125,14256.5498046875,14053.349609375,14068.51953125,6314600
^TWII,2020-12-16,14145.240234375,14339.5,14145.240234375,14304.4599609375,4861300
^TWII,2020-12-17,14326.16015625,14338.400390625,14213.490234375,14258.9296875,4300900
^TWII,2020-12-18,14268.1298828125,14329.1201171875,14245.599609375,14249.9599609375,5686900
^TWII,2020-12-21,14273.7900390625,14384.9599609375,14166.8896484375,14384.9599609375,6280700
^TWII,2020-12-22,14348.1103515625,14411.9296875,14175.6904296875,14177.4599609375,8023200
^TWII,2020-12-23,14180.7001953125,14247.7900390625,14134.8701171875,14223.08984375,5537300
^TWII,2020-12-24,14256.2900390625,14324.419921875,14256.2900390625,14280.2802734375,5380500
^TWII,2020-12-25,14306.98046875,14400.830078125,14296.9697265625,14331.419921875,5375300
^TWII,2020-12-28,14363.4501953125,14483.0703125,14363.4501953125,14483.0703125,6279800
^TWII,2020-12-29,14500.91015625,14547.0703125,14435.0302734375,14472.0498046875,7396000
^TWII,2020-12-30,14485.9697265625,14695.4404296875,14476.6904296875,14687.7001953125,6211900
^TWII,2020-12-31,14704.5302734375,14760.0595703125,14646.330078125,14732.5302734375,5881100
^TWII,2021-01-04,14720.25,14937.1298828125,14720.25,14902.0302734375,6487600
^TWII,2021-01-05,14913.6396484375,15000.0302734375,14861.990234375,15000.0302734375,6302200
^TWII,2021-01-06,15145.849609375,15197.6796875,14837.0,14983.1298828125,7787000
^TWII,2021-01-07,15059.51953125,15270.400390625,15049.8603515625,15214.0,5878900
^TWII,2021-01-08,15365.1298828125,15463.9501953125,15275.3798828125,15463.9501953125,6192800
^TWII,2021-01-11,15425.580078125,15557.2998046875,15395.73046875,15557.2998046875,5319100
^TWII,2021-01-12,15549.5302734375,15642.0302734375,15421.23046875,15500.7001953125,6399400
^TWII,2021-01-13,15550.16015625,15778.51953125,15550.16015625,15769.98046875,5900400
^TWII,2021-01-14,15651.2001953125,15760.150390625,15620.9599609375,15707.1904296875,5571500
^TWII,2021-01-15,15987.16015625,16041.58984375,15615.1103515625,15616.3896484375,6418300
^TWII,2021-01-18,15676.4501953125,15676.4501953125,15320.9697265625,15612.0,5431000
^TWII,2021-01-19,15716.6396484375,15928.1396484375,15716.6396484375,15877.3701171875,5516500
^TWII,2021-01-20,15934.849609375,16004.3203125,15745.48046875,15806.1796875,7303000
^TWII,2021-01-21,15775.73046875,16238.4599609375,15775.73046875,16153.76953125,5268500
^TWII,2021-01-22,15984.8896484375,16138.0400390625,15973.01953125,16019.0302734375,5023800
^TWII,2021-01-25,16006.2099609375,16014.9599609375,15772.6298828125,15946.5400390625,4667900
^TWII,2021-01-26,15955.16015625,16023.8701171875,15589.2099609375,15658.849609375,4526600
